condition,duration_s,VmRSS_mean_kB,VmRSS_max_kB,VmSize_mean_kB,Threads_mean,Threads_max,voluntary_ctxt_switches_final,nonvoluntary_ctxt_switches_final
baseline,146,10448.133333333333,10604,234130.53333333333,3.9,4,1,13
60s,151,12018.064516129032,12276,226445.16129032258,3.870967741935484,4,3,15
12s,151,12129.290322580646,12308,230937.67741935485,3.935483870967742,4,3,5
6s,151,12132.258064516129,12432,223802.4516129032,3.838709677419355,4,3,21
3s,151,12161.935483870968,12452,228030.5806451613,3.838709677419355,4,3,10
