client,enroll_avg_ms,enroll_p95_ms,enroll_max_ms,sign_avg_ms,sign_max_ms,bsm_cycles,deadline_misses,provisions_ok
1,164.5,245.3,276.1,0.106,0.234,1773,6,22
2,176.5,321.7,324.1,0.106,0.270,1761,6,22
3,168.3,230.3,467.2,0.103,0.298,1751,6,22
