client,enroll_avg_ms,enroll_p95_ms,enroll_max_ms,sign_avg_ms,sign_max_ms,bsm_cycles,deadline_misses,provisions_ok
1,171.1,208.1,338.9,0.108,0.229,1786,7,22
2,166.0,286.6,300.8,0.096,0.210,1787,7,22
3,198.8,210.9,1179.0,0.107,0.275,1772,6,22
4,167.8,255.9,282.8,0.103,0.334,1758,6,22
5,142.4,154.1,168.7,0.108,0.598,1757,6,22
