timestamp_ns,bsm_cycles,bsm_deadline_miss,provision_ok,provision_fail,last_keygen_ms,last_enroll_ms,last_pseudonym_ms,last_bsm_sign_ms,max_bsm_sign_ms,last_mutex_wait_ms,max_mutex_wait_ms,last_crl_check_ms,max_crl_check_ms,revoke_request_ms
444415129607000,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
444415741891000,1541,6,14,0,1.411,268.968,5255.011,0.171,4.588,0.000,0.004,0.000,0.000,0.000
444415913627000,19749,0,396,0,0.815,0.360,0.160,0.153,29.918,0.000,0.021,0.636,2.043,0.000
444415988930000,5288,18,9,0,2.477,300.815,5155.103,0.161,5.505,0.000,0.314,299.060,299.060,0.000
444415991513000,7115,0,0,0,0.000,0.000,0.000,0.283,14.206,0.000,0.039,0.000,0.000,0.000
444416011192000,3119,11,18,0,0.993,282.702,5476.838,0.233,8.437,0.000,0.001,280.492,350.297,0.000
444416130861000,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
444416743270000,1551,6,14,0,1.411,268.968,5255.011,0.094,4.588,0.000,0.004,0.000,0.000,0.000
444416915038000,19759,0,396,0,0.815,0.360,0.160,0.117,29.918,0.000,0.021,0.636,2.043,0.000
444416990366000,5298,18,9,0,2.477,300.815,5155.103,0.072,5.505,0.000,0.314,299.060,299.060,0.000
444416992036000,7125,0,0,0,0.000,0.000,0.000,0.120,14.206,0.000,0.039,0.000,0.000,0.000
444417012496000,3129,11,18,0,0.993,282.702,5476.838,0.110,8.437,0.000,0.001,280.492,350.297,0.000
444417132322000,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
444417744647000,1561,6,14,0,1.411,268.968,5255.011,0.073,4.588,0.000,0.004,0.000,0.000,0.000
444417916310000,19769,0,396,0,0.815,0.360,0.160,0.148,29.918,0.000,0.021,0.636,2.043,0.000
444417991567000,5308,18,9,0,2.477,300.815,5155.103,0.124,5.505,0.000,0.314,299.060,299.060,0.000
444417993204000,7135,0,0,0,0.000,0.000,0.000,0.143,14.206,0.000,0.039,0.000,0.000,0.000
444418013668000,3139,11,18,0,0.993,282.702,5476.838,0.095,8.437,0.000,0.001,280.492,350.297,0.000
444418133794000,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
444418745871000,1571,6,14,0,1.411,268.968,5255.011,0.156,4.588,0.000,0.004,0.000,0.000,0.000
444418917534000,19779,0,396,0,0.815,0.360,0.160,0.173,29.918,0.000,0.021,0.636,2.043,0.000
444418992830000,5318,18,9,0,2.477,300.815,5155.103,0.117,5.505,0.000,0.314,299.060,299.060,0.000
444418994367000,7145,0,0,0,0.000,0.000,0.000,0.089,14.206,0.000,0.039,0.000,0.000,0.000
444419014808000,3149,11,18,0,0.993,282.702,5476.838,0.087,8.437,0.000,0.001,280.492,350.297,0.000
444419134301000,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
444419747161000,1581,6,14,0,1.411,268.968,5255.011,0.090,4.588,0.000,0.004,0.000,0.000,0.000
444419918800000,19789,0,396,0,0.815,0.360,0.160,0.102,29.918,0.000,0.021,0.636,2.043,0.000
444419994040000,5328,18,9,0,2.477,300.815,5155.103,0.104,5.505,0.001,0.314,299.060,299.060,0.000
444419995503000,7155,0,0,0,0.000,0.000,0.000,0.094,14.206,0.000,0.039,0.000,0.000,0.000
444420016253000,3159,11,18,0,0.993,282.702,5476.838,0.107,8.437,0.000,0.001,280.492,350.297,0.000
444420135366000,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
444420748013000,1591,6,14,0,1.411,268.968,5255.011,0.062,4.588,0.000,0.004,0.000,0.000,0.000
444420920059000,19799,0,397,0,0.772,0.501,0.107,0.071,29.918,0.000,0.021,0.636,2.043,0.000
444420995282000,5338,18,9,0,2.477,300.815,5155.103,0.129,5.505,0.000,0.314,299.060,299.060,0.000
444420995891000,7165,0,0,0,0.000,0.000,0.000,0.075,14.206,0.000,0.039,0.000,0.000,0.000
444421017550000,3169,11,18,0,0.993,282.702,5476.838,0.092,8.437,0.000,0.001,280.492,350.297,0.000
444421136667000,2,1,1,0,3.603,297.111,5454.395,0.042,0.080,0.000,0.000,0.000,0.000,0.000
444421749290000,1601,6,14,0,1.411,268.968,5255.011,0.107,4.588,0.000,0.004,0.000,0.000,0.000
444421921224000,19809,0,397,0,0.772,0.501,0.107,0.101,29.918,0.000,0.021,0.237,2.043,0.000
444421996492000,5348,18,9,0,2.477,300.815,5155.103,0.075,5.505,0.000,0.314,299.060,299.060,0.000
444421997019000,7175,0,0,0,0.000,0.000,0.000,0.105,14.206,0.000,0.039,0.000,0.000,0.000
444422019019000,3179,11,18,0,0.993,282.702,5476.838,0.091,8.437,0.000,0.001,280.492,350.297,0.000
444422138262000,12,1,1,0,3.603,297.111,5454.395,0.074,0.151,0.000,0.001,0.000,0.000,0.000
444422750565000,1611,6,14,0,1.411,268.968,5255.011,0.178,4.588,0.000,0.004,0.000,0.000,0.000
444422922556000,19819,0,397,0,0.772,0.501,0.107,0.131,29.918,0.000,0.021,0.237,2.043,0.000
444422997748000,5358,18,9,0,2.477,300.815,5155.103,0.095,5.505,0.000,0.314,299.060,299.060,0.000
444422998184000,7185,0,0,0,0.000,0.000,0.000,0.086,14.206,0.000,0.039,0.000,0.000,0.000
444423020291000,3189,11,18,0,0.993,282.702,5476.838,0.093,8.437,0.000,0.001,280.492,350.297,0.000
444423139465000,22,1,1,0,3.603,297.111,5454.395,0.097,0.163,0.000,0.001,0.000,0.000,0.000
444423751985000,1621,6,14,0,1.411,268.968,5255.011,0.069,4.588,0.000,0.004,0.000,0.000,0.000
444423923907000,19829,0,397,0,0.772,0.501,0.107,0.123,29.918,0.000,0.021,0.237,2.043,0.000
444423999077000,5368,18,9,0,2.477,300.815,5155.103,0.179,5.505,0.000,0.314,299.060,299.060,0.000
444423999399000,7195,0,0,0,0.000,0.000,0.000,0.165,14.206,0.000,0.039,0.000,0.000,0.000
444424021507000,3199,11,19,0,0.843,260.141,5266.774,0.170,8.437,0.000,0.001,280.492,350.297,0.000
444424140892000,32,1,1,0,3.603,297.111,5454.395,0.163,0.198,0.000,0.001,0.000,0.000,0.000
444424753691000,1631,6,14,0,1.411,268.968,5255.011,0.241,4.588,0.000,0.004,0.000,0.000,0.000
444424925275000,19839,0,397,0,0.772,0.501,0.107,0.067,29.918,0.000,0.021,0.237,2.043,0.000
444425000286000,7205,0,0,0,0.000,0.000,0.000,0.094,14.206,0.000,0.039,0.000,0.000,0.000
444425000287000,5378,18,9,0,2.477,300.815,5155.103,0.097,5.505,0.000,0.314,299.060,299.060,0.000
444425022863000,3209,11,19,0,0.843,260.141,5266.774,0.093,8.437,0.000,0.001,280.492,350.297,0.000
444425142402000,42,1,1,0,3.603,297.111,5454.395,0.089,0.258,0.000,0.001,0.000,0.000,0.000
444425754973000,1641,6,15,0,0.737,273.841,5387.542,0.195,4.588,0.000,0.004,0.000,0.000,0.000
444425926652000,19849,0,398,0,0.710,0.132,0.077,0.105,29.918,0.000,0.021,0.237,2.043,0.000
444426001659000,7215,0,0,0,0.000,0.000,0.000,0.153,14.206,0.000,0.039,0.000,0.000,0.000
444426001676000,5388,18,9,0,2.477,300.815,5155.103,0.073,5.505,0.000,0.314,299.060,299.060,0.000
444426024115000,3219,11,19,0,0.843,260.141,5266.774,0.090,8.437,0.000,0.001,280.492,350.297,0.000
444426143630000,52,1,1,0,3.603,297.111,5454.395,0.198,0.258,0.000,0.001,0.000,0.000,0.000
444426756204000,1651,6,15,0,0.737,273.841,5387.542,0.132,4.588,0.000,0.004,0.000,0.000,0.000
444426928060000,19859,0,398,0,0.710,0.132,0.077,0.144,29.918,0.000,0.021,0.237,2.043,0.000
444427003020000,7225,0,0,0,0.000,0.000,0.000,0.171,14.206,0.000,0.039,0.000,0.000,0.000
444427003272000,5398,19,9,0,2.477,300.815,5155.103,0.167,5.505,0.000,0.314,299.060,299.060,0.000
444427025446000,3229,11,19,0,0.843,260.141,5266.774,0.152,8.437,0.000,0.001,280.492,350.297,0.000
444427145022000,62,1,1,0,3.603,297.111,5454.395,0.089,0.277,0.000,0.001,0.000,0.000,0.000
444427757579000,1661,6,15,0,0.737,273.841,5387.542,0.180,4.588,0.000,0.004,0.000,0.000,0.000
444427929093000,19869,0,398,0,0.710,0.132,0.077,0.134,29.918,0.000,0.021,0.237,2.043,0.000
444428004376000,7235,0,0,0,0.000,0.000,0.000,0.096,14.206,0.000,0.039,0.000,0.000,0.000
444428004376000,5408,19,9,0,2.477,300.815,5155.103,0.256,5.505,0.000,0.314,299.060,299.060,0.000
444428026405000,3239,11,19,0,0.843,260.141,5266.774,0.192,8.437,0.000,0.001,280.492,350.297,0.000
444428146311000,72,1,1,0,3.603,297.111,5454.395,0.094,0.277,0.000,0.001,0.000,0.000,0.000
444428758689000,1671,6,15,0,0.737,273.841,5387.542,0.091,4.588,0.000,0.004,0.000,0.000,0.000
444428930475000,19879,0,398,0,0.710,0.132,0.077,0.139,29.918,0.000,0.021,0.237,2.043,0.000
444429004631000,7245,0,0,0,0.000,0.000,0.000,0.102,14.206,0.001,0.039,0.000,0.000,0.000
444429005653000,5418,19,9,0,2.477,300.815,5155.103,0.087,5.505,0.000,0.314,299.060,299.060,0.000
444429027669000,3249,11,19,0,0.843,260.141,5266.774,0.130,8.437,0.000,0.001,280.492,350.297,0.000
444429147846000,82,1,1,0,3.603,297.111,5454.395,0.121,0.277,0.000,0.001,0.000,0.000,0.000
444429760246000,1681,6,15,0,0.737,273.841,5387.542,0.189,4.588,0.000,0.004,0.000,0.000,0.000
444429931825000,19889,0,398,0,0.710,0.132,0.077,0.102,29.918,0.000,0.021,0.237,2.043,0.000
444430005454000,7255,0,0,0,0.000,0.000,0.000,0.106,14.206,0.000,0.039,0.000,0.000,0.000
444430006837000,5428,19,9,0,2.477,300.815,5155.103,0.159,5.505,0.000,0.314,299.060,299.060,0.000
444430029047000,3259,11,19,0,0.843,260.141,5266.774,0.130,8.437,0.000,0.001,280.492,350.297,0.000
444430149339000,92,1,2,0,1.681,228.048,5353.680,0.114,0.277,0.000,0.001,0.000,0.000,0.000
444430760880000,1691,6,15,0,0.737,273.841,5387.542,0.101,4.588,0.000,0.004,0.000,0.000,0.000
444430932644000,19899,0,399,0,0.579,0.320,1.898,0.210,29.918,0.000,0.021,0.237,2.043,0.000
444431006952000,7265,0,0,0,0.000,0.000,0.000,0.140,14.206,0.000,0.039,0.000,0.000,0.000
444431008077000,5438,19,9,0,2.477,300.815,5155.103,0.113,5.505,0.000,0.314,299.060,299.060,0.000
444431030382000,3269,11,19,0,0.843,260.141,5266.774,0.217,8.437,0.000,0.001,280.492,350.297,0.000
444431150709000,102,1,2,0,1.681,228.048,5353.680,0.312,0.312,0.000,0.001,0.000,0.000,0.000
444431762227000,1701,6,15,0,0.737,273.841,5387.542,0.125,4.588,0.000,0.004,0.000,0.000,0.000
444431933776000,19909,0,399,0,0.579,0.320,1.898,0.167,29.918,0.000,0.021,0.237,2.043,0.000
444432008476000,7275,0,0,0,0.000,0.000,0.000,0.117,14.206,0.000,0.039,0.000,0.000,0.000
444432009297000,5448,19,9,0,2.477,300.815,5155.103,0.173,5.505,0.000,0.314,299.060,299.060,0.000
444432031850000,3279,11,19,0,0.843,260.141,5266.774,0.195,8.437,0.000,0.001,280.492,350.297,0.000
444432152365000,112,1,2,0,1.681,228.048,5353.680,0.121,0.374,0.000,0.001,0.000,0.000,0.000
444432764530000,1711,6,15,0,0.737,273.841,5387.542,0.174,4.588,0.000,0.004,0.000,0.000,0.000
444432935365000,19919,0,399,0,0.579,0.320,1.898,0.230,29.918,0.000,0.021,0.237,2.043,0.000
444433009930000,7285,0,0,0,0.000,0.000,0.000,0.183,14.206,0.000,0.039,0.000,0.000,0.000
444433009929000,5458,19,9,0,2.477,300.815,5155.103,0.219,5.505,0.000,0.314,299.060,299.060,0.000
444433033340000,3289,11,19,0,0.843,260.141,5266.774,0.153,8.437,0.000,0.001,280.492,350.297,0.000
444433153446000,122,1,2,0,1.681,228.048,5353.680,0.184,0.374,0.000,0.001,0.000,0.000,0.000
444433765779000,1721,6,15,0,0.737,273.841,5387.542,0.180,4.588,0.000,0.004,0.000,0.000,0.000
444433936611000,19929,0,399,0,0.579,0.320,1.898,0.078,29.918,0.000,0.021,0.237,2.043,0.000
444434011347000,7295,0,0,0,0.000,0.000,0.000,0.097,14.206,0.000,0.039,0.000,0.000,0.000
444434011505000,5468,19,9,0,2.477,300.815,5155.103,0.095,5.505,0.000,0.314,299.060,299.060,0.000
444434034524000,3296,11,19,0,0.843,260.141,5266.774,0.165,8.437,0.001,0.001,280.492,350.297,0.000
444434154720000,132,1,2,0,1.681,228.048,5353.680,0.168,0.374,0.000,0.001,0.000,0.000,0.000
444434767133000,1731,6,15,0,0.737,273.841,5387.542,0.342,4.588,0.000,0.004,0.000,0.000,0.000
444434937631000,19939,0,399,0,0.579,0.320,1.898,0.115,29.918,0.000,0.021,0.237,2.043,0.000
444435012624000,7305,0,0,0,0.000,0.000,0.000,0.079,14.206,0.000,0.039,0.000,0.000,0.000
444435012797000,5478,19,9,0,2.477,300.815,5155.103,0.080,5.505,0.000,0.314,299.060,299.060,0.000
444435035691000,3307,12,19,0,0.843,260.141,5266.774,0.098,8.437,0.000,0.001,301.268,350.297,0.000
444435156290000,142,1,2,0,1.681,228.048,5353.680,0.076,0.374,0.000,0.001,0.000,0.000,0.000
444435768392000,1741,6,15,0,0.737,273.841,5387.542,0.140,4.588,0.000,0.004,0.000,0.000,0.000
444435938919000,19949,0,400,0,0.879,0.367,0.103,0.085,29.918,0.000,0.021,0.237,2.043,0.000
444436013891000,7315,0,0,0,0.000,0.000,0.000,0.114,14.206,0.000,0.039,0.000,0.000,0.000
444436014345000,5488,19,9,0,2.477,300.815,5155.103,0.090,5.505,0.000,0.314,299.060,299.060,0.000
444436036935000,3317,12,19,0,0.843,260.141,5266.774,0.086,8.437,0.000,0.001,301.268,350.297,0.000
444436157528000,152,1,2,0,1.681,228.048,5353.680,0.091,0.374,0.000,0.001,0.000,0.000,0.000
444436769686000,1751,6,15,0,0.737,273.841,5387.542,0.220,4.588,0.000,0.004,0.000,0.000,0.000
444436940222000,19959,0,400,0,0.879,0.367,0.103,0.144,29.918,0.000,0.021,0.237,2.043,0.000
444437015275000,7325,0,0,0,0.000,0.000,0.000,0.110,14.206,0.000,0.039,0.000,0.000,0.000
444437015626000,5498,19,9,0,2.477,300.815,5155.103,0.090,5.505,0.000,0.314,299.060,299.060,0.000
444437038238000,3327,12,19,0,0.843,260.141,5266.774,0.168,8.437,0.000,0.001,301.268,350.297,0.000
444437159238000,162,1,2,0,1.681,228.048,5353.680,0.070,0.374,0.000,0.001,0.000,0.000,0.000
444437771047000,1761,6,16,0,1.388,292.376,5186.966,0.101,4.588,0.000,0.004,0.000,0.000,0.000
444437941557000,19969,0,400,0,0.879,0.367,0.103,0.212,29.918,0.000,0.021,0.237,2.043,0.000
444438016935000,5508,19,9,0,2.477,300.815,5155.103,0.177,5.505,0.000,0.314,299.060,299.060,0.000
444438016936000,7335,0,0,0,0.000,0.000,0.000,0.092,14.206,0.000,0.039,0.000,0.000,0.000
444438039803000,3337,12,19,0,0.843,260.141,5266.774,0.085,8.437,0.000,0.001,301.268,350.297,0.000
444438161023000,172,1,2,0,1.681,228.048,5353.680,0.177,0.374,0.000,0.001,0.000,0.000,0.000
444438772583000,1771,6,16,0,1.388,292.376,5186.966,0.169,4.588,0.000,0.004,0.000,0.000,0.000
444438943293000,19979,0,400,0,0.879,0.367,0.103,0.129,29.918,0.000,0.021,0.237,2.043,0.000
444439018449000,5518,19,9,0,2.477,300.815,5155.103,0.229,5.505,0.000,0.314,299.060,299.060,0.000
444439018449000,7345,0,0,0,0.000,0.000,0.000,0.137,14.206,0.000,0.039,0.000,0.000,0.000
444439041319000,3347,12,19,0,0.843,260.141,5266.774,0.123,8.437,0.000,0.001,301.268,350.297,0.000
444439162468000,183,1,3,0,1.220,269.173,5379.444,0.126,0.374,0.000,0.001,0.000,0.000,0.000
444439773954000,1781,6,16,0,1.388,292.376,5186.966,0.263,4.588,0.000,0.004,0.000,0.000,0.000
444439944666000,19989,0,400,0,0.879,0.367,0.103,0.112,29.918,0.000,0.021,0.237,2.043,0.000
444440019801000,5528,19,9,0,2.477,300.815,5155.103,0.068,5.505,0.000,0.314,299.060,299.060,0.000
444440020130000,7355,0,0,0,0.000,0.000,0.000,0.100,14.206,0.000,0.039,0.000,0.000,0.000
444440041875000,3357,12,19,0,0.843,260.141,5266.774,0.183,8.437,0.000,0.001,301.268,350.297,0.000
444440163993000,193,1,3,0,1.220,269.173,5379.444,0.135,0.374,0.000,0.001,0.000,0.000,0.000
444440775376000,1791,6,16,0,1.388,292.376,5186.966,0.265,4.588,0.000,0.004,0.000,0.000,0.000
444440946010000,19999,0,401,0,2.472,0.399,0.242,0.282,29.918,0.000,0.021,0.237,2.043,0.000
444441021137000,5538,19,9,0,2.477,300.815,5155.103,0.167,5.505,0.000,0.314,299.060,299.060,0.000
444441021496000,7365,0,0,0,0.000,0.000,0.000,0.155,14.206,0.000,0.039,0.000,0.000,0.000
